targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SBS0957+599,3066,PGC029070,3,"('150.26083333333332', '59.73722222222222')","('150.59592', '59.74294')",2.1962634367730713e-06,3.6580914825263596e-170,43.6566776107277,7.407563702054812,145.9671515768878,x,3515.0,3338.0,272.0,49.5,x,3.8,2.4,50.0,90.0,1.9,-99.99,x,-99.99,-99,Spiral,Spiral,0.011136
SBS0957+599,3066,MRK0025,3,"('150.26083333333332', '59.73722222222222')","('150.96616', '59.43619')",1.3101817976266463e-08,1.5949723993858928e-56,85.70018272660332,32.098302135782816,363.61820846065655,x,3167.0,2989.0,-77.0,44.61,x,10.1,8.8,28.0,35.0,84.7,32.97,.E?....,-99.99,-99,E/S0_HII,E/S0_HII,0.009969
SBS0957+599,3066,MCG+10-15-001,3,"('150.26083333333332', '59.73722222222222')","('150.50403', '59.25232')",1.227141214317542e-08,1.816928864607293e-46,90.32839292825197,35.98651136189781,366.17852076439715,x,2977.0,2799.0,-267.0,41.93,x,10.9,9.1,34.0,152.0,13.8,-99.99,x,-99.99,-99,E0,E0,0.009337
