targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1495,NGC4517,30,"('187.70833333333334', '1.256388888888889')","('188.18996', '0.11503')",0.01242409301171796,0.02770672918898445,207.56778682516213,219.60998155821605,209.7249045072657,x,1420.0,1128.0,-367.0,9.7,x,36.4,5.8,81.0,83.0,74.1,628.28,.SAS6*/,0.36,83.0,SA(s)cd:_sp_HII,SA(s)cd:_sp_HII,0.003764
HE1228+0131,1495,NGC4517A,30,"('187.70833333333334', '1.256388888888889')","('188.11732', '0.38967')",0.008285572849099806,0.003558457792012524,184.55485695962207,170.10127277595544,403.1051346083094,x,1818.0,1525.0,30.0,24.1,x,30.7,16.9,57.0,30.0,55.3,238.86,.SBT8*.,0.36,30.0,SB(rs)dm:_HII,SB(rs)dm:_HII,0.005087
HE1228+0131,1495,NGC4527,30,"('187.70833333333334', '1.256388888888889')","('188.53509', '2.65366')",0.003359387298185834,0.0018480126968194708,187.03616663496922,175.11224114835605,385.3113758018855,x,2031.0,1736.0,241.0,13.6,x,31.3,10.7,70.0,70.0,39.4,369.96,.SXS4..,0.36,67.0,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791
HE1228+0131,1495,NGC4536,30,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.002558720036507717,0.0010659080683526469,179.96633842111865,161.04141082342767,337.59992494886507,x,2103.0,1808.0,313.0,14.9,x,29.6,15.4,59.0,95.0,50.9,455.15,.SXT4..,0.36,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031
HE1228+0131,1495,MCG+00-32-016,30,"('187.70833333333334', '1.256388888888889')","('187.7659', '1.6757')",0.0002044710834529659,7.271995221343944e-142,32.702323169085005,3.952847075210474,70.84099189662041,x,1399.0,1105.0,-390.0,9.59,x,2.5,1.4,55.0,80.0,72.2,73.82,.IXS9P*,0.36,80.0,IAB(s)m_pec:,IAB(s)m_pec:,0.003686
HE1228+0131,1495,UGC07612,30,"('187.70833333333334', '1.256388888888889')","('187.25892', '2.72319')",8.988936144518475e-11,1.0830300729806658e-80,81.55643225270019,28.81985426750108,390.8965129777376,x,1870.0,1575.0,80.0,14.6,x,9.4,4.7,60.0,145.0,18.0,128.28,.S..9*.,0.36,145.0,Sm:_HII,Sm:_HII,0.005254
HE1228+0131,1495,PGC041700,30,"('187.70833333333334', '1.256388888888889')","('188.33653', '1.52174')",2.680424724235396e-11,2.2179587170058e-134,66.54533988759152,18.520259177452136,324.60800946450695,x,1937.0,1643.0,148.0,27.28,x,7.0,2.4,70.0,179.0,68.1,-99.99,.S..7?/,0.36,-99,Sd?_sp,Sd?_sp,0.00548
HE1228+0131,1495,IC3474,30,"('187.70833333333334', '1.256388888888889')","('188.15215', '2.66152')",4.4016831397861286e-12,1.2934811618504396e-58,97.07824255240514,42.08991565684113,483.47921996697556,x,2022.0,1727.0,232.0,18.8,x,12.1,1.2,84.0,36.0,18.5,137.45,.S..7./,0.36,36.0,Sd(f)_HII,Sd(f)_HII,0.005761
HE1228+0131,1495,NGC4409,30,"('187.70833333333334', '1.256388888888889')","('186.74375', '2.49436')",1.1658211209364417e-13,1.532716356040168e-82,89.18150695194646,35.00061428032371,479.2432012331958,x,1980.0,1685.0,190.0,17.5,x,10.7,4.7,64.0,10.0,47.9,122.5,.SBR4*.,0.36,8.0,SB(r)bc:;HII_LINER,SB(r)bc:;HII_LINER,0.005621
HE1228+0131,1495,UGC07512,30,"('187.70833333333334', '1.256388888888889')","('186.42223', '2.15898')",2.7169174370140245e-19,0.0,44.44619413241409,7.701882886671284,290.59491002174724,x,1800.0,1505.0,10.0,10.6,x,3.9,1.4,69.0,130.0,4.9,75.54,.IBS9..,0.36,130.0,ImIV,ImIV,0.00502
HE1228+0131,1495,2PIGGNGPGALB+3.26065+0.04028,30,"('187.70833333333334', '1.256388888888889')","('187.46075', '2.03158')",3.974829633757976e-36,0.0,46.7780388647478,8.607438643406063,416.6980283640284,x,2084.0,1789.0,294.0,29.34,x,4.2,2.1,60.0,152.0,10.3,-99.99,x,0.36,-99,x,x,0.005966
