targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1580,NGC4527,30,"('187.27791666666667', '2.0525')","('188.53509', '2.65366')",0.02395378737128928,0.015429862809216346,187.03616663496922,175.11224114835605,330.5426430509268,x,2031.0,1736.0,156.0,13.6,x,31.3,10.7,70.0,70.0,5.6,369.96,.SXS4..,0.36,67.0,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791
3C273.0,1580,UGC07612,30,"('187.27791666666667', '2.0525')","('187.25892', '2.72319')",0.012334078694277056,5.190086938736426e-16,81.55643225270019,28.81985426750108,170.9724004065265,x,1870.0,1575.0,-5.0,14.6,x,9.4,4.7,60.0,145.0,33.4,128.28,.S..9*.,0.36,145.0,Sm:_HII,Sm:_HII,0.005254
3C273.0,1580,NGC4536,30,"('187.27791666666667', '2.0525')","('188.61271', '2.18814')",0.006388995308830774,0.0025106202708702237,179.96633842111865,161.04141082342767,348.66954715361874,x,2103.0,1808.0,228.0,14.9,x,29.6,15.4,59.0,95.0,10.8,455.15,.SXT4..,0.36,130.0,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031
3C273.0,1580,2PIGGNGPGALB+3.26065+0.04028,30,"('187.27791666666667', '2.0525')","('187.46075', '2.03158')",0.0058265829928926425,3.4246869686714125e-53,46.7780388647478,8.607438643406063,94.17732725670724,x,2084.0,1789.0,209.0,29.34,x,4.2,2.1,60.0,152.0,55.5,-99.99,x,0.36,-99,x,x,0.005966
3C273.0,1580,NGC4409,30,"('187.27791666666667', '2.0525')","('186.74375', '2.49436')",0.0027196186126177157,1.0034803114124356e-16,89.18150695194646,35.00061428032371,211.63729207126372,x,1980.0,1685.0,105.0,17.5,x,10.7,4.7,64.0,10.0,60.4,122.5,.SBR4*.,0.36,8.0,SB(r)bc:;HII_LINER,SB(r)bc:;HII_LINER,0.005621
3C273.0,1580,UGC07642,30,"('187.27791666666667', '2.0525')","('187.55731', '2.62471')",2.6759873138771296e-06,1.477398674045182e-41,84.52560428369547,31.149622790653503,301.9149062987502,x,1929.0,1634.0,54.0,27.17,x,9.9,8.1,35.0,124.0,82.0,62.83,.IBS9..,0.36,130.0,SdmIII-IV_HII,SdmIII-IV_HII,0.005451
3C273.0,1580,UGC07512,30,"('187.27791666666667', '2.0525')","('186.42223', '2.15898')",2.2468220094918004e-06,7.354583611565052e-187,44.44619413241409,7.701882886671284,159.4210622730847,x,1800.0,1505.0,-75.0,10.6,x,3.9,1.4,69.0,130.0,32.9,75.54,.IBS9..,0.36,130.0,ImIV,ImIV,0.00502
3C273.0,1580,IC3474,30,"('187.27791666666667', '2.0525')","('188.15215', '2.66152')",1.3791656595211342e-06,6.885777101967279e-31,97.07824255240514,42.08991565684113,349.39816023003004,x,2022.0,1727.0,147.0,18.8,x,12.1,1.2,84.0,36.0,19.1,137.45,.S..7./,0.36,36.0,Sd(f)_HII,Sd(f)_HII,0.005761
3C273.0,1580,NGC4496,30,"('187.27791666666667', '2.0525')","('187.91667', '3.93278')",1.9183643008739124e-08,6.003832110952161e-31,109.46369894996593,54.644157967709596,453.9667306140534,x,2027.0,1731.0,151.0,13.1,x,14.4,10.8,41.0,70.0,51.2,-99.99,x,0.36,-99,SBc,SBc,0.005774
3C273.0,1580,PGC041631,30,"('187.27791666666667', '2.0525')","('188.21403', '2.62973')",3.136423017967892e-33,0.0,37.934954608957455,5.458113227114293,326.1111752249188,x,2069.0,1774.0,194.0,17.0,x,3.1,1.9,52.0,39.0,19.3,22.81,       ,0.36,-99,BCD:,BCD:,0.005917
3C273.0,1580,PGC041840,30,"('187.27791666666667', '2.0525')","('188.64575', '2.56883')",4.613722638926522e-40,0.0,46.00667649591621,8.3018672598398,433.4863431909897,x,2143.0,1848.0,268.0,17.0,x,4.1,2.4,55.0,151.0,81.7,30.77,       ,0.36,-99,BCD,BCD,0.006164
3C273.0,1580,SDSSJ122803.21+025449.8,30,"('187.27791666666667', '2.0525')","('187.01337', '2.91383')",1.8238434544304724e-55,0.0,34.485854956043596,4.436552715791846,386.5166470491206,x,1745.0,1450.0,-130.0,24.58,x,2.7,0.7,76.0,118.0,44.9,-99.99,x,0.36,-99,x,x,0.004838
3C273.0,1580,PGC040951,30,"('187.27791666666667', '2.0525')","('187.01527', '2.90991')",1.8577225359525842e-116,0.0,24.034925927759257,2.023857702507763,392.1820331967171,x,1779.0,1484.0,-96.0,25.06,x,1.6,0.9,55.0,94.0,69.0,57.3,.S?....,0.36,-99,S?_HII,S?_HII,0.004951
3C273.0,1580,SDSSJ122658.42+022923.2,30,"('187.27791666666667', '2.0525')","('186.74342', '2.48981')",5.701334684341559e-251,0.0,13.586814548942638,0.5856620185738528,326.12683531906634,x,1922.0,1627.0,47.0,27.07,x,0.7,0.6,16.0,148.0,18.7,-99.99,x,0.36,-99,x,x,0.005426
