Number,galaxyName,degreesJ2000RA_Dec,impactParameter (kpc),inclination (deg),positionAngle (deg),azimuth (deg),velocity,linDiameters,morphology
0,MCG-04-26-019,"(165.70883, -23.59161)",179.2,65.2,35.0,81.7,3846.2,"(27.9, 11.7)",(R:)SA:(s)ab   HII
1,AM1102-225,"(166.22412, -23.1355)",444.7,x,x,x,3930.4,"('x', 'x')",Sp
