AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
SBS1108+560	UGC06225	3	"('167.88375', '55.79028')"	"(167.87904, 55.67411)"	0.888081863	0.892199662	228.3555832	270.2492035	29.04206628	910.4	178.4	14.32	41.8	9.2	77.3	83	81.7	NGC3556	.SBS6./	75.1	80	SB(s)cd        HII	SB(s)cd        HII	0.002332	0.765	DG	1	1	1	732	"529, 885"	1082pm82	2.07E14pm3.34E13	136.9pm2.8	d:Lya	"d:Lya marked at 732, center is 707"
TON1009	NGC2770	5	"('137.27542', '32.60861')"	"(137.39045, 33.12353)"	0.072366885	0.082646559	204.4092283	212.4100186	274.0148385	2143.1	182.1	29.967	35.6	7.3	78.1	x	42.7	NGC2770	.SAS5*.	72.4	148	SA(s)c:	SA(s)c:	0.006494	0.809	RT	1	1	1	1961	"1854, 2048"	350pm21	1.05E14pm8.11E12	55.0pm3.5	Lya	"Lya labeled at 1961 _ I measure 1951, looks blended"
3C273.0	SDSSJ122815.96+014944.1	8	"('187.27792', '2.05222')"	"(187.0665, 1.82892)"	0.003414189	3.54E-84	41.24838513	6.547900427	90.56332769	1198.4	185.4	16.87858892	3.5	1.8	59.3	40	3.4	0	x	x	x	x	x	0.003015	0.1583	SP	1	1	0	1013	"910, 1116"	376pm3	1.33E14pm1.07E12	44.5pm2.3	Lya	"strong, I measure center at 1010, near NGC4536 - see Lya:1582; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SBS1122+594	IC0691	6	"('171.47375', '59.17278')"	"(171.68465, 59.15543)"	0.528010558	0.000822788	65.88793138	18.12481724	45.28841264	1399.4	185.4	23.700001	6.9	5.1	42.3	155	55.9	IC691	.I?....	48.6	150	I?;WR?         HII	I?;WR?         HII	0.003992	0.858	DG	1	1	0	1214	"1079, 1349"	830pm13	4.03E14pm2.05E13	82.9pm1.3	d:Lya	"d:Lya marked as two blended lines at 1149 and 1208 = wrong, center is 1214; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J0714.5+7408	UGC03717	1	"('108.65083', '74.13639')"	"(108.31017, 73.84314)"	0.063934401	0.069162396	201.6273975	206.1760146	270.6033265	4268.8	194.8	50.35	34.9	16.8	61.3	115	82.6	UGC3717	.S..4..	68.7	103	Sbc	Sbc	0.01397	0.371	SP	1	1	1	4074	"4030, 4114"	58pm7	1.18E13pm1.65E12	29.0pm2.0	done	center is 4072 : ONLY 1 GALAXY
TON1009	IC2439	4	"('137.27542', '32.60861')"	"(137.16024, 32.59295)"	0.403347412	0.268201585	153.4747113	113.9204766	108.5992962	4494.8	209.8	63.30638611	23.5	7.5	71.3	30	50.8	MCG6-20-32	.L?....	-99	-99	S0?	S0?	0.01434	0.809	RT	1	1	1	4285	"4200, 4390"	343pm17	1.26E14pm1.06E13	42.1pm3.5	Lya	"Lya labeled at 4285 _ I measure 4295, loose galaxy group"
SBS1122+594	NGC3642	13	"('171.47375', '59.17278')"	"(170.57455, 59.07451)"	0.03387541	0.004147062	149.8503775	108.1530536	226.4484462	1789.9	209.9	27.5	22.7	22.5	8.1	75	3	NGC3642	.SAR4*.	33.7	105	SA(r)bc:;LINER Sy3	SA(r)bc:;LINER Sy3	0.005297	0.858	DG	0	0	0	1580	"1560, 1634"	132pm9	3.39E13pm2.98E12	24.6pm3.1	d:Lya	"d:Lya labeled at 1580 - I measure 1597, blended with Lyg, crowded field; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
TON488	UGC05478	3	"('152.50292', '30.05583')"	"(152.38167, 30.15171)"	0.298545295	0.020200963	92.03657223	37.48236919	58.03988156	1620.3	245.3	23.4	11.2	11	11.5	x	x	UGC5478	.I..9..	12.2	-99	Im	Im	0.004597	0.2564	SP	1	1	1	1375	"1284, 1480"	452pm12	1.75E14pm9.83E12	51.2pm2.4	done	center is 1382
HE1228+0131	NGC4536	12	"('187.70833', '1.25583')"	"(188.61271, 2.18814)"	0.009730359	0.009656086	197.6231383	197.3783651	347.2467113	2102.6	248.6	15.321	33.9	14.3	65.1	x	85.9	NGC4536	.SXT4..	64.7	130	SAB(rs)bc;HII  Sbrst	SAB(rs)bc;HII  Sbrst	0.006031	0.117	SP	0	0	0	1854	"1814, 1906"	68pm3	1.39E13pm5.91E11	33.3pm3.2	d:Lya	"d:Lya labeled at 1854 - I measure 1860, near to with Lya:1709, near both NGC4517A and NGC4536, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0	SDSSJ122840.21+015426.8	1	"('187.27792', '2.05222')"	"(187.16757, 1.90745)"	3.92E-20	3.67E-288	61.87924115	15.8128745	406.3250542	9082.5	250.5	127.9219116	6.3	5.6	28.1	x	x	0	x	x	x	x	x	0.029314	0.1583	SP	0	0	0	8832	"8738, 8922"	139pm2	2.96E13pm4.10E11	51.9pm2.1	"Lya, d:Lya"	center is 8830 : ONLY 1 GALAXY
PG1302-102	PKS1302-102:[CPC2008]1027	1	"('196.3875', '-10.55556')"	"(196.49167, -10.41389)"	-99	-99	-99	-99	336.4626924	7829.3	253.3	110.2720804	x	x	x	x	x	0	x	x	x	x	x	0.02521	0.2784	SP	0	0	0	7576	"7542, 7610"	37pm4	7.57E12pm8.99E11	21.2pm2.7	"Lya, d:Lya"	"Lya labeled at 7576, d:Lya at 7573, center is 7576 : ONLY 1 GALAXY"
RX_J0714.5+7408	UGC03730NED02	3	"('108.65083', '74.13639')"	"(108.58467, 73.47342)"	1.99E-07	1.19E-19	123.2444344	70.7121701	458.0276725	2809.4	254.4	39.56875494	17.1	10.9	50.2	5	3.4	UGC3730	.RING..	58.3	165	Ring	Ring	0.0091	0.371	SP	0	0	0	2555	"2522, 2588"	28pm7	5.46E12pm1.45E12	23.8pm3.5	done	"weak, center is 2555 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1330.8+3119	UGC08496NED02	5	"('202.72167', '31.32556')"	"(202.5724, 31.33278)"	0.013850576	8.30E-07	100.9194509	45.79467218	160.2412903	5104.2	265.2	71.89071302	12.8	6.6	58.7	47	46.2	UGC8496	.S?....	59.1	-99	HII	HII	0.016108	0.241	DG	1	1	0	4839	"4735, 4943"	413pm16	1.42E14pm9.19E12	51.4pm2.6	f:Lya	"good. Several other, closer galaxies. Just a bit too ambiguous, center is 4839 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
H1101-232	MCG-04-26-019	2	"('165.90708', '-23.49194')"	"(165.70883, -23.59161)"	0.058028018	0.038796038	172.7694299	147.3690571	179.153512	3846.2	266.2	49.52	27.9	11.7	65.2	35	26.3	ESO502-G12	PSXT2..	59.1	30	(R:)SA:(s)ab   HII	(R:)SA:(s)ab   HII	0.012086	0.186	SP	1	1	1	3580	"3466, 3710"	573pm12	2.67E14pm1.50E13	57.3pm1.9	d:Lya	"strong, center is 3588, blended with H2:1, OVI?; p"
RX_J1330.8+3119	UGC08492	4	"('202.72167', '31.32556')"	"(202.52721, 31.38811)"	0.008401369	0.010142602	204.0128691	211.5156614	335.4060644	7689.2	288.2	108.2987054	35.5	34.1	16.2	70	40.6	UGC8492	.S?....	12.2	-99	S0	S0	0.02473	0.241	DG	1	0	1	7401	"7325, 7497"	330pm15	1.09E14pm7.83E12	45.6pm2.3	f:Lya	"f:Lya labeled at 7401, center is 7411. Somewhat ambiguous, and totally face on (can't determine azimuth). UGC08498 is b = 580, and is huge : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ140428.30+335342.0	KUG1402+341	2	"('211.11792', '33.895')"	"(211.12182, 33.95337)"	0.166376558	0.170042061	203.6161637	210.6225629	117.5153834	8177.5	293.5	115.175796	35.4	12.7	68.9	120	63.2	0	x	x	x	Spiral	Spiral	0.026415	0.549	RT	1	0	1	7884	"7745, 8023"	889pm28	2.82E14pm2.03E13	93.4pm1.2	working	center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1211+143	NGC4189	8	"('183.57375', '14.05361')"	"(183.44696, 13.42481)"	0.005278733	0.002595877	180.8044945	162.6763412	314.0232624	2414.5	298.5	28.08	29.8	17.3	54.5	95	83.9	NGC4189	.SXT6$.	43.6	85	SAB(rs)cd?     HII	SAB(rs)cd?     HII	0.007055	0.0804	SP	1	1	1	2116	"2044, 2162"	105pm8	2.21E13pm1.89E12	41.8pm1.4	Lya	"STIS only, center is 2103 ; p"
CSO395	UGC07207	8	"('182.81083', '36.96083')"	"(183.07817, 37.01481)"	0.110502235	0.005160878	103.0851275	47.95798161	83.4198657	1324.4	299.4	21.700001	13.2	6.5	60.7	x	x	0	x	x	x	IB(s)m V	IB(s)m V	0.003506	0.169	DG	1	1	0	1025	"974, 1120"	343pm15	1.21E14pm9.85E12	41.6pm4.1	"f:Lya, working"	center is 1047 : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1121+423	SDSSJ112418.74+420323.1	1	"('171.16333', '42.02917')"	"(171.07809, 42.05642)"	0.022610893	0.000101956	104.1603213	49.05205398	129.2311645	7628	300	107.436169	13.4	5.8	64.5	133	19.7	0	x	x	x	x	x	0.024596	0.234	RT	1	1	0	7328	"7267, 7431"	359pm7	1.27E14pm4.05E12	41.9pm2.1	"d:Lya, Lya"	"d:Lya labeled at 7348, Lya at 7328, I measure 7349 : ONLY 1 GALAXY"
3C273.0	SDSSJ122830.42+020630.6	1	"('187.27792', '2.05222')"	"(187.12675, 2.1085)"	6.69E-09	1.03E-37	99.28140373	44.19417382	401.98895	10143.7	311.7	142.8684023	12.5	10.8	29.9	x	x	0	x	x	x	x	x	0.032853	0.1583	SP	0	0	0	9832	"9782, 9884"	40pm2	7.77E12pm3.14E11	30.9pm2.8	"Lya, d:Lya"	center is 9833 : ONLY 1 GALAXY
PG1216+069	SDSSJ121903.72+063342.9	1	"('184.83708', '6.64389')"	"(184.76552, 6.56194)"	0.007219862	2.28E-13	71.06873748	21.36663287	110.1638657	4131	318	58.18263304	7.7	3.7	61.3	156	64.9	0	x	x	x	x	x	0.012787	0.3313	SP	1	1	0	3813	"3692, 3934"	360pm10	9.78E13pm3.17E12	62.7pm2.3	"Lya, d:Lya"	"Lya labeled at 3775, 3812, d:Lya labeled at 3797, center is 3797 : ONLY 1 GALAXY"
PG1211+143	SDSSJ121430.17+141512.6	2	"('183.57375', '14.05361')"	"(183.62574, 14.25351)"	8.53E-06	1.93E-15	116.7006809	62.80375785	351.1734606	6929.5	323.5	97.59845259	15.8	3.8	76.1	40	25.8	0	x	x	x	x	x	0.022114	0.0804	SP	0	0	0	6606	"6554, 6660"	98pm6	2.17E13pm1.51E13	31.0pm2.3	Lya	center is 6607 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080908.13+461925.6	SDSSJ080842.74+461828.9	1	"('122.28375', '46.32389')"	"(122.17811, 46.30809)"	0.013142969	3.28E-05	103.0851275	47.95798161	132.6306394	7227.2	327.2	101.791107	13.2	10.6	36.9	74	3.8	0	x	x	x	x	x	0.023656	0.6563	SP	1	1	0	6900	"6864, 6970"	151pm10	3.54E13pm2.81E12	38.6pm2.6	d:Lya	"d:Lya labeled at 6900, center is 6917 : ONLY 1 GALAXY"
RX_J1330.8+3119	SDSSJ133025.22+304141.9	11	"('202.72167', '31.32556')"	"(202.60509, 30.69498)"	2.73E-75	0	25.0616555	2.216528818	325.6855514	2075.2	335.2	29.22781275	1.7	0.8	62.6	105	84	0	x	x	x	Extended Src [SDSS]	Extended Src [SDSS]	0.006	0.241	DG	0	0	0	1740	"1654, 1810"	153pm18	3.35E13pm4.54E12	53.7pm2.3	f:Lya	"f:Lya labeled at 1740, I measure 1732 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1121+423	SDSSJ112418.74+420323.1	1	"('171.16333', '42.02917')"	"(171.07809, 42.05642)"	0.0102104	4.60E-05	104.1603213	49.05205398	129.2311645	7628	349	107.436169	13.4	5.8	64.5	133	19.7	0	x	x	x	x	x	0.024596	0.234	RT	1	1	0	7279	"7200, 7270"	46pm6	9.17E12pm1.32E12	26.4pm2.3	d:Lya	"d:Lya labeled at 7279, I measure 7235 : ONLY 1 GALAXY"
PG1216+069	NGC4260	21	"('184.83708', '6.64389')"	"(184.84267, 6.09868)"	0.001481514	0.002188253	208.3540511	221.4224379	384.4546253	2255.7	352.7	40.4	36.6	17.6	61.3	45	45.6	NGC4260	.SBS1..	59.9	58	SB(s)a;Sy      LINER	SB(s)a;Sy      LINER	0.006531	0.3313	SP	0	0	1	1903	"1461, 2345"	2269pm33	1.11E15pm2.79E13	230.0pm3.6	"d:Lya, Lya"	"DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
TON488	UGC05478	3	"('152.50292', '30.05583')"	"(152.38167, 30.15171)"	0.043604993	0.002950517	92.03657223	37.48236919	58.03988156	1620.3	370.3	23.4	11.2	11	11.5	x	x	UGC5478	.I..9..	12.2	-99	Im	Im	0.004597	0.2564	SP	1	1	1	1250	"1237, 1297"	68pm9	1.48E13pm2.20E12	24.0pm2.0	d:Lya	"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
HE1228+0131	2MASXJ12303439+0116243	1	"('187.70833', '1.25583')"	"(187.64345, 1.27345)"	0.006316704	0.000346985	126.7038471	75.09828227	158.8300695	9612.8	373.8	135.3912178	17.8	15.7	28.3	45	60.2	0	x	x	x	x	x	0.031084	0.117	SP	1	1	0	9239	"9140, 9308"	249pm3	6.04E13pm7.84E11	53.1pm2.2	"Lya, d:Lya"	"Lya labeled at 9239, d:Lya at 9235 _ I measure 9224, far away, but the only galaxy in field : ONLY 1 GALAXY"
CSO395	UGC07125	15	"('182.81083', '36.96083')"	"(182.17638, 36.80275)"	0.00379773	0.002636512	184.1398497	169.2708362	259.754882	1344.6	378.6	28	30.6	4.9	80.8	85	12.3	UGC7125	.S..9..	80.9	85	Sdm	Sdm	0.003572	0.169	DG	0	0	0	966	"886, 984"	194pm14	5.70E13pm5.91E12	30.6pm6.6	"f:Lya, working"	center is 935 : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290	x	0	"('233.96792', '57.9025')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0296	SP	0	0	0	4654	"4630, 4694"	45pm14	933E12pm3.07E12	22.6pm4.1	done	"only in HRS data, very faint, center is 4662 : NO GALAXIES"
SBS1537+577	x	0	"('234.54167', '57.60361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0734	SP	0	0	0	8466	"8413, 8501"	48pm21	9.79E12pm4.38E12	31.1pm7.9	Lya	center is 8457 : NO GALAXIES
SBS1537+577	x	0	"('234.54167', '57.60361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0734	SP	0	0	0	9008	"8983, 9033"	54pm14	1.23E13pm3.69E12	x	no	"Not marked, but I see Lya here : NO GALAXIES"
SBS1537+577	x	0	"('234.54167', '57.60361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0734	SP	0	0	0	9190	"9160, 9224"	67pm16	1.47E13pm4.07E12	22.4pm1.9	Lya	center is 9192 : NO GALAXIES
SBS1537+577	x	0	"('234.54167', '57.60361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0734	SP	0	0	0	9824	"9795, 9845"	40pm15	8.29E12pm3.39E12	18.6pm2.9	Lya	center is 9820 : NO GALAXIES
3C66A	x	0	"('35.665', '43.03556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.444	SP	0	0	0	4303	"4282, 4324"	24pm4	4.93E12pm9.03E11	15.6pm2.1	d:X	"weak, labeled d:X?, center is 4303 : NO GALAXIES"
3C66A	x	0	"('35.665', '43.03556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.444	SP	0	0	0	8180	"8138, 8258"	118pm6	2.76E13pm1.53E12	30.3pm2.9	d:Lya	"center is 8198, no galaxies within 1000 kpc : NO GALAXIES"
MRC2251-178	x	0	"('343.52458', '-17.58194')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0661	SP	0	0	0	4373	"4308, 4376"	22pm3	4.36E12pm6.54E11	22.4pm3.0	Lya	"Lya labeled at 4323, d:INSTR labeled at 4362.5, center is 4342 : NO GALAXIES"
MRC2251-178	x	0	"('343.52458', '-17.58194')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0661	SP	0	0	0	4710	"4667, 4719"	23pm3	4.51E12pm6.80E11	16.2pm3.9	d:Lya	"d:Lya labeled at 4710, center is 4693 : NO GALAXIES"
MRC2251-178	x	0	"('343.52458', '-17.58194')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0661	SP	0	0	0	9733	"9650, 9810"	195pm4	4.63E13pm9.91E11	44.2pm1.9	"Lya, d:Lya"	"Lya labeled at 9733, d:Lya at 9745, center is 9730 : NO GALAXIES"
SBS1503+570	x	0	"('226.2315', '56.8223')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.3589	SP	0	0	0	8920	"8780, 9036"	587pm16	2.14E14pm1.18E13	69.6pm2.1	Lya	"Lya marked 8920, center is 8908; two galaxies with 500 < v < 800 km/s = SDSSJ150606.34+563934.6, SDSSJ150659.06+564203.2 : NO GALAXIES"
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	1448	"1410, 1488"	103pm25	2.37E13pm6.83E12	27.5pm3.5	done	center is 1449 : NO GALAXIES
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	2474	"2400, 2514"	133pm23	3.03E13pm6.05E12	40.8pm2.2	done	center is 2457 : NO GALAXIES
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	2596	"2520, 2660"	294pm21	9.38E13pm1.08E13	39.8pm3.2	done	center is 2590 : NO GALAXIES
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	4158	"4080, 4236"	189pm23	4.30E13pm6.24E12	56.5pm2.8	no	"Not labeled, looks like Lya to me : NO GALAXIES"
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	4351	"4272, 4386"	187pm20	4.69E13pm6.39E12	39.2pm1.6	done	center is 4329 : NO GALAXIES
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	4848	"4769, 4895"	158pm22	3.73E13pm6.01E12	41.7pm3.9	done	center is 4832 : NO GALAXIES
SDSSJ080838.80+051440.0	x	0	"('122.16167', '5.24444')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.361	RT	0	0	0	10195	"10048, 10344"	780pm24	3.02E14pm1.97E13	80.6pm2.2	done	center is 10196 : NO GALAXIES
2dFGRS_S393Z082	x	0	"('41.25333', '-30.12306')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.34	NP	0	0	0	3012	"2970, 3028"	52pm13	1.13E13pm3.22E12	20.7pm2.6	done	center is 2999 : NO GALAXIES
2dFGRS_S393Z082	x	0	"('41.25333', '-30.12306')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.34	NP	0	0	0	4052	"4003, 4055"	36pm13	7.41E12pm2.81E12	18.7pm2.7	done	center is 4029 : NO GALAXIES
PG1211+143	x	0	"('183.57375', '14.05361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0804	SP	0	0	0	4933	"4870, 4970"	150pm6	3.60E13pm1.95E12	33.5pm2.9	Lya	"center is 4920, blended with Lya:5033 : NO GALAXIES"
PG1211+143	x	0	"('183.57375', '14.05361')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.0804	SP	0	0	0	5011	"4964, 5106"	234pm7	5.97E13pm2.40E12	44.4pm3.5	Lya	"center is 5035, blended with Lya:4920 : NO GALAXIES"
TON488	x	0	"('152.50292', '30.05583')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2564	SP	0	0	0	4101	"4050, 4152"	55pm10	1.10E13pm2.07E12	43.7pm2.7	d:Lya	d:Lya marked at 4101 is extremely weak/questionable : NO GALAXIES
TON488	x	0	"('152.50292', '30.05583')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2564	SP	0	0	0	4786	"4746, 4836"	44pm9	8.77E12pm1.82E12	31.1pm3.1	done	center is 4791 : NO GALAXIES
TON488	x	0	"('152.50292', '30.05583')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2564	SP	0	0	0	5737	"5702, 5758"	34pm7	6.89E12pm1.45E12	16.0pm3.5	done	center is 5730 : NO GALAXIES
SDSSJ135341.03+361948.0	x	0	"('208.42083', '36.33')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.147	PL	0	0	0	6172	"6074, 6254"	274pm10	7.25E13pm3.28E12	50.2pm2.3	done	center is 6164 : NO GALAXIES
SDSSJ135341.03+361948.0	x	0	"('208.42083', '36.33')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.147	PL	0	0	0	6419	"6388, 6450"	48pm7	9.82E12pm1.51E12	23.6pm2.6	no	"not marked, but looks like a small Lya line here : NO GALAXIES"
SDSSJ135341.03+361948.0	x	0	"('208.42083', '36.33')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.147	PL	0	0	0	6531	"6450, 6600"	450pm6	2.05E14pm9.45E12	45.3pm2.0	done	center is 6525 : NO GALAXIES
SDSSJ135341.03+361948.0	x	0	"('208.42083', '36.33')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.147	PL	0	0	0	6642	"6600, 6720"	233pm8	7.37E13pm3.53E12	32.2pm3.3	done	center is 6660 : NO GALAXIES
MRK1014	x	0	"('29.95917', '0.39472')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.163	SP	0	0	0	8421	"8356, 8488"	169pm11	3.98E13pm3.05E12	39.3pm2.4	d:Lya	center is 8422 : NO GALAXIES
RX_J1503.2+6810	x	0	"('225.81875', '68.16833')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.114	SP	0	0	0	7205	"7124, 7264"	180pm16	4.11E13pm4.49E12	43.1pm3.0	Lya	"Lya marked at 7205, center is 7194 : NEEDS TO BE IDENTIFIED : NO GALAXIES"
RX_J1503.2+6810	x	0	"('225.81875', '68.16833')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.114	SP	0	0	0	8231	"8208, 8256"	29pm10	6.20E12pm2.21E12	13.3pm4.1	no	"weak, center is 8232 : NEEDS TO BE IDENTIFIED : NO GALAXIES"
RX_J1503.2+6810	x	0	"('225.81875', '68.16833')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.114	SP	0	0	0	8835	"8746, 8894"	266pm15	7.45E13pm5.61E12	43.1pm3.1	Lya	"Lya marked at 8845, center is 8820, blended : NEEDS TO BE IDENTIFIED : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	5683	"5635, 5745"	46pm6	9.10E12pm1.19E12	37.7pm2.9	"Lya, d:NV"	"Lya labeled at 5683, d:NV at 5694, center is 5690 : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	5856	"5820, 5892"	54pm4	1.11E13pm9.80E11	24.7pm1.9	d:Lya	"weak, center is 5856 : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	5972	"5945, 5999"	29pm4	5.71E12pm8.30E11	18.6pm2.1	d:Lya	"MgII labeled at 5981.5, center is 5972 : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	6092	"6026, 6150"	37pm6	7.13E12pm1.22E12	43.6pm2.5	d:Lya	"MgII labeled at 6097.3, d:Lya labeled at 6098, center is 6088 : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	6597	"6558, 6636"	58pm5	1.20E13pm1.06E12	26.8pm1.7	"Lya, d:Lya"	"Lya labeled at 6597, d:Lya at 6572, AGN-Ol labeled at 6559.6, center is 6597 : NO GALAXIES"
PG1302-102	x	0	"('196.3875', '-10.55556')"	"('x', 'x')"	-99	-99	-99	-99	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.2784	SP	0	0	0	9856	"9825, 9885"	35pm4	6.98E12pm8.36E11	21.5pm1.8	d:Lya	"d:Lya labeled at 9837, SII labeled 9766, center is 9855 : NO GALAXIES"
