AGNname	galaxyName	environment	degreesJ2000RA_DecAGN	degreesJ2000RA_DecGalaxy	likelihood	likelihood_1.5	virialRadius	d^1.5	impactParameter (kpc)	vcorrGalaxy (km/s)	vel_diff	distGalaxy (Mpc)	majorAxis (kpc)	minorAxis (kpc)	inclination (deg)	positionAngle (deg)	azimuth (deg)	RC3flag	RC3type	RC3inc (deg)	RC3pa (deg)	morphology	final_morphology	galaxyRedshift	AGNredshift	spectrumStatus	include	include_vir	include_custom	Lya_v	vlimits	Lya_W	Na	b	identified	comment
MRC2251-178	HIPASSJ2254-18	3	"('343.52458', '-17.58194')"	"(343.6474, -18.00054)"	0.000330081	1.44E-10	121.7484398	68.85950915	319.5117248	2990.5	-212.5	42.12023615	16.8	10.1	53.1	40	55.6	ESO603-G27	.IBS9..	52.9	40	IB(s)m	IB(s)m	0.010898	0.0661	SP	0	0	0	3203	"3120, 3326"	332pm5	9.28E13pm1.83E12	52.7pm2.4	"Lya, d:Lya"	"Lya labeled at 3203, d:Lya at 3218, center is 3223 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RX_J1503.2+6810	CGCG318-012	1	"('225.81875', '68.16833')"	"(225.56167, 68.26181)"	0.060668263	0.248197006	249.7749021	328.4055054	325.4494668	9911.8	-210.2	139.60269	47.6	30.5	50.2	135	0.6	0	x	x	x	x	x	0.032573	0.114	SP	1	1	1	10122	"10080, 10170"	44pm14	8.89E12pm2.98E12	29.4pm5.1	Lya	center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY
2dFGRS_S393Z082	NGC1097	5	"('41.25333', '-30.12306')"	"(41.57937, -30.27489)"	0.566156445	0.618984032	273.1866721	399.0239191	111.9452231	1029.8	-209.2	20.038	54.2	36.7	47.4	x	11.7	NGC1097	.SBS3..	47.5	130	(R'_1:)SB(r'l)bSy1	(R'_1:)SB(r'l)bSy1	0.00424	0.34	NP	1	1	1	1239	"1145, 1339"	570pm21	2.16E14pm2.11E13	62.9pm1.8	done	"center is 1242, original name = TGS393Z082"
HE1228+0131	NGC4536	10	"('187.70833', '1.25583')"	"(188.61271, 2.18814)"	0.015402592	0.015285023	197.6231383	197.3783651	347.2467113	2102.6	-208.4	15.321	33.9	14.3	65.1	x	85.9	NGC4536	.SXT4..	64.7	130	SAB(rs)bc;HII  Sbrst	SAB(rs)bc;HII  Sbrst	0.006031	0.117	SP	0	1	1	2311	"2222, 2400"	343pm3	1.27E14pm1.44E12	38.9pm2.5	"d:Lya, Lya"	"near UGC07625 and IC3474, 3C273.0, center is 2311, NGC4536 and NGC4527 are too close and similar; p"
3C273.0	NGC4536	9	"('187.27792', '2.05222')"	"(188.61271, 2.18814)"	0.014323538	0.014207015	197.6231383	197.3783651	358.5279206	2102.6	-195.4	15.321	33.9	14.3	65.1	x	45.8	NGC4536	.SXT4..	64.7	130	SAB(rs)bc;HII  Sbrst	SAB(rs)bc;HII  Sbrst	0.006031	0.1583	SP	0	0	0	2298	"2248, 2344"	31pm2	5.99E12pm3.51E11	36.4pm1.9	"Lya, d:INSTR"	"weak, center is 2296, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A	UGC01832	3	"('35.665', '43.03556')"	"(35.62966, 43.0653)"	0.721998913	0.717523103	191.9550398	185.2785066	55.88383776	5771.7	-193.3	81.29213857	32.5	13.6	65.2	155	16	UGC1832	.S..1..	64.1	163	Sa	Sa	0.019724	0.444	SP	0	0	0	5965	"5940, 6026"	53pm6	1.11E13pm1.27E12	26.3pm2.6	d:Lya	"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0	NGC4517	12	"('187.27792', '2.05222')"	"(188.18996, 0.11503)"	0.014682711	0.01195875	193.1759035	187.8498124	364.9041481	1420.4	-161.6	9.765	32.8	4.1	82.7	x	71.8	NGC4517	.SAS6*/	81.5	83	SA(s)cd: sp    HII	SA(s)cd: sp    HII	0.003764	0.1583	SP	0	1	1	1582	"1482, 1720"	375pm3	1.44E14pm1.09E12	44.3pm2.7	Lya	"UGC07612 also nearby, double labels, center is 1601, originally yes - changed to no, crowded field; p"
MRK1014	KUG0156-001	1	"('29.95917', '0.39472')"	"(29.79728, 0.10978)"	2.47E-05	1.35E-10	141.0794316	94.86259537	446.1410499	5538	-156	78.0001575	20.8	16.8	35.9	18	11.6	0	x	x	x	Compact	Compact	0.01937	0.163	SP	0	0	0	5694	"5604, 5706"	45pm9	8.84E12pm1.92E12	35.3pm2.3	d:Lya	"center is 5655, extremely weak : ONLY 1 GALAXY"
RX_J0714.5+7408	UGC03739	2	"('108.65083', '74.13639')"	"(109.13343, 75.74151)"	1.24E-29	0	58.44741601	13.96824971	475.115241	1200.5	-138.5	16.9081605	5.8	4.5	38.7	x	x	UGC3739	.I..9*.	39.1	-99	Im:	Im:	0.003736	0.371	SP	0	0	0	1339	"1322, 1374"	24pm8	4.64E12pm1.66E12	18.7pm2.7	done	"very weak, center is 1348 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131	NGC4517	12	"('187.70833', '1.25583')"	"(188.18996, 0.11503)"	0.191432792	0.178733691	193.1759035	187.8498124	211.0427507	1420.4	-135.6	9.765	32.8	4.1	82.7	x	74.1	NGC4517	.SAS6*/	81.5	83	SA(s)cd: sp    HII	SA(s)cd: sp    HII	0.003764	0.117	SP	1	1	1	1556	"1550, 1600"	20pm2	3.86E12pm4.10E11	19.7pm1.7	d:Lya	"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p"
