targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE0439-5254,613,NGC1705,4,"('70.05', '-52.805')","('73.55625', '-53.36106')",6.145631914592298e-19,0.0,29.941368737561735,3.263127334322092,193.86516078895565,x,510.0,633.0,20.0,5.1,x,2.2,1.7,41.0,78.0,26.7,114.33,.LA.-P*,0.83,50.0,SA0-_pec:;HII_BCDG,SA0-_pec:;HII_BCDG,0.002112
HE0439-5254,613,NGC1291,4,"('70.05', '-52.805')","('49.32744', '-41.10807')",7.44156503912561e-27,0.0,33.599406811092535,4.192374029115246,257.83208469893026,x,633.0,839.0,226.0,0.81,x,2.6,1.8,45.0,156.0,22.9,586.34,RSBS0..,0.83,-99,(R_1)SB(1)0/a_HII,(R_1)SB(1)0/a_HII,0.002799
HE0439-5254,613,UGC05470,4,"('70.05', '-52.805')","('152.11708', '12.30639')",0.0,0.0,14.898141370053176,0.7155417527999328,414.79457029633716,x,534.0,285.0,-328.0,0.25,x,0.8,0.6,41.0,80.0,44.3,586.34,dE.3...,0.83,80.0,E;dSph,E;dSph,0.000951
HE0439-5254,613,6dFJ0454135-532139,4,"('70.05', '-52.805')","('73.55604', '-53.36094')",-99.99,-99.99,-99.99,-99.99,268.7318568409565,x,502.0,625.0,12.0,7.07,x,-99.99,-99.99,-99,-99,23.7,-99.99,x,0.83,-99,x,x,0.002085
