targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE0439-5254,1148,NGC1566,3,"('70.05', '-52.805')","('65.00175', '-54.93781')",4.6652874866874e-09,2.1133728317522134e-27,114.13979475351596,59.84627807976032,456.7690963051297,x,1361.0,1504.0,356.0,7.15,x,15.3,10.5,46.0,170.0,65.0,499.06,.SXS4..,0.79,60.0,(R'_1)SAB(rs)bcSy1,(R'_1)SAB(rs)bcSy1,0.005017
HE0439-5254,1148,NGC1291,3,"('70.05', '-52.805')","('49.32744', '-41.10807')",2.4521279079211468e-27,0.0,33.599406811092535,4.192374029115246,257.83208469893026,x,633.0,839.0,-309.0,0.81,x,2.6,1.8,45.0,156.0,22.9,586.34,RSBS0..,0.79,-99,(R_1)SB(1)0/a_HII,(R_1)SB(1)0/a_HII,0.002799
HE0439-5254,1148,UMaDwarf,3,"('70.05', '-52.805')","('158.72', '51.92')",-99.99,-99.99,-99.99,-99.99,223.74711169558424,x,1313.0,1101.0,-47.0,0.1,x,-99.99,-99.99,-99,-99,55.5,-99.99,x,0.79,-99,dSph,dSph,0.003673
