AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RX_J1356.4+2515,8475,CGCG132-055,3,"('209.106666667', '25.2563888889')","(209.03878, 25.19546)",0.32631083,0.352495614,205.9912275,216,190.2105714,x,8944.4,8671,196,125.9781177,x,36,29.5,34.97078088,35.80140516,20,25.2,0,x,x,x,E/S0,E/S0,0.028923,0.164,SI,1,1,1,8475,"8402, 8528",126pm18,2.69E13 pm 4.33E12,45.8pm 1.8,Lya,center is 8465
RX_J1503.2+6810,10122,CGCG318-012,1,"('225.81875', '68.1683333333')","(225.56167, 68.26181)",0.00756745,0.030958054,249.7749021,328.4055054,325.4437708,x,9911.8,9765,-357,139.60269,x,47.6,30.5,50.15176178,51.5891464,135,0.6,0,x,x,x,compact,compact,0.032573,0.114,SP,1,0,1,10122,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,Lya,center is 10127 : NEEDS TO BE IDENTIFIED : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
SDSSJ140428.30+335342.0,7884,KUG1402+341,2,"('211.117916667', '33.895')","(211.12182, 33.95337)",1.390172538,1.420800101,203.6161637,210.6225629,117.5156913,x,8177.5,7919,35,115.175796,x,35.4,12.7,68.97611744,72.30330014,120,63.2,0,x,x,x,Spiral,Spiral,0.026415,0.549,RT,1,0,1,7884,"7745, 8023",889pm28,2.82E14 pm 2.03E13,93.4pm 1.2,working,center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,9051,MCG-03-58-009,1,"('343.524583333', '-17.5819444444')","(343.42021, -17.47889)",0.361759073,1.426017559,319.1465428,559.5058883,320.0630657,x,8753.8,9030,-21,128,x,67.9,35.3,58.67565132,60.67468731,175,39,ESO603-G25,.S?....,48.6,27,Sc,Spiral,0.030121,0.0661,SP,1,1,1,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
H1101-232,3580,MCG-04-26-019,2,"('165.907083333', '-23.4919444444')","(165.70883, -23.59161)",0.325791093,0.217815076,172.7694299,147.3690571,179.1539784,x,3846.2,3623,43,49.52,x,27.9,11.7,65.20613754,67.90209128,35,26.3,ESO502-G12,PSXT2..,59.1,30,(R:)SA:(s)ab   HII,Spiral,0.012086,0.186,SP,1,1,1,3580,"3466, 3710",573pm12,2.67E14 pm 1.50E13,57.3pm 1.9,d:Lya,"strong, center is 3588, blended with H2:1, OVI?; p"
SBS0957+599,9469,MCG+10-14-058,2,"('150.260833333', '59.7375')","(150.2715, 59.824)",1.045768856,1.409623602,261.2437815,362.0725231,206.1666703,x,9677.2,9501,32,136.2981995,x,50.8,16.3,71.28468645,75.16226652,165,18.6,0,x,x,x,x,Spiral,0.031692,0.7475,SI,1,1,1,9469,"9428, 9518",78pm12,1.64E13 pm 2.88E12,31.2pm 4.0,Lya,center is 9473
MRK1014,7080,NGC0768,3,"('29.9591666667', '0.394722222222')","(29.67056, 0.52922)",0.010925325,0.042180061,230.9874379,277.0661022,486.1529329,x,6752.3,7021,-59,87.483,x,42.5,20.4,61.31459799,63.55450247,30,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,Spiral,0.023419,0.163,SP,1,1,1,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
TON1009,1961,NGC2770,4,"('137.275416667', '32.6086111111')","(137.39045, 33.12353)",0.164986392,0.188422559,204.4092283,212.4100186,274.0145373,x,2143.1,1947,-14,29.967,x,35.6,7.3,78.16721222,87.35265562,150,40.7,NGC2770,.SAS5*.,72.4,148,SA(s)c:,Spiral,0.006494,0.809,RT,1,1,1,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
RX_J1017.5+4702,629,NGC3198,5,"('154.37875', '47.0402777778')","(154.97897, 45.54962)",0.01956555,0.014085314,191.1391896,183.5708773,377.7156519,x,884.9,663,34,13.987,x,32.3,11.3,69.52215277,72.96484287,40,55.3,NGC3198,.SBT5..,67.1,35,SB(rs)c,Spiral,0.002212,0.3354,SP,1,1,1,629,"584, 662",60pm17,1.24E13 pm 3.81E12,27.9pm 2.9,Lya,center is 623
LBQS1230-0015,1127,NGC4517,11,"('188.267083333', '-0.526111111111')","(188.18996, 0.11503)",1.51300564,1.562148783,208.3540511,221.4224379,110.0582855,x,1420.4,1128,1,9.765,x,36.6,5.9,80.72331774,90,83,89.9,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,Spiral,0.003764,0.4709,SP,1,1,1,1127,"1028, 1218",473pm16,1.84E14 pm 1.34E13,51.0pm 2.3,Lya,center is 1123
