AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
3C273.0,1582,NGC4527,12,"('187.277916667', '2.05222222222')","(188.53509, 2.65366)",0.020274295,0.021732835,199.6297787,201.7612054,362.9476607,x,2031,1736,154,14.932,x,34.4,11.7,70.1,70,5.6,NGC4527,.SXS4..,70.2,67,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791,0.1583,SP,?,FALSE,FALSE,1582,"1482, 1720",375pm3,1.44E14 pm 1.09E12,44.3pm 2.7,Lya,"UGC07612 also nearby, double labels, center is 1601, originally yes - changed to no on 6/18/15; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,2156,NGC4536,4,"('187.277916667', '2.05222222222')","(188.61271, 2.18814)",0.001801857,0.001787199,197.6231383,197.3783651,358.5287462,x,2102.6,1808,-348,15.321,x,33.9,14.3,65.1,x,45.8,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.1583,SP,?,FALSE,FALSE,2156,"2088, 2248",57pm2,1.09E13 pm 5.00E11,61.1pm 2.7,"Lya, d:INSTR","weak, center is 2168, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,2298,2MASXJ12281585+0242025,2,"('187.277916667', '2.05222222222')","(187.06619, 2.70083)",1.91E-12,6.72E-90,83.34364623,30.21047831,432.8904193,x,2581.2,2286,-12,36.35528125,x,9.7,5.5,55.9,40,58.1,0,x,x,x,x,x,0.007626,0.1583,SP,?,FALSE,FALSE,2298,"2248, 2344",31pm2,5.99E12 pm 3.51E11,36.4pm 1.9,"Lya, d:INSTR","weak, center is 2296, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,7862,x,0,"('187.27792', '2.05222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.1583,SP,FALSE,FALSE,FALSE,7862,"7810, 7912",42pm1,8.34E12 pm 3.04E11,30.9pm 2.9,"Lya, d:Lya",center is 7861 : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C273.0,8832,SDSSJ122929.52+021150.4,2,"('187.277916667', '2.05222222222')","(187.373, 2.19736)",0.000159028,4.28E-07,152.1201376,111.7459977,400.6685017,x,9395.7,9101,269,132.3342728,x,23.2,12.1,58.7,144,69.2,0,x,x,x,x,x,0.030358,0.1583,SP,?,FALSE,FALSE,8832,"8738, 8922",139pm2,2.96E13 pm 4.10E11,51.9pm 2.1,"Lya, d:Lya",center is 8830 : ONLY 1 GALAXY : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
3C273.0,9832,SDSSJ122830.42+020630.6,1,"('187.277916667', '2.05222222222')","(187.12675, 2.1085)",7.54E-08,1.17E-36,99.28140373,44.19417382,401.9792324,x,10143.7,9849,17,142.8684023,x,12.5,10.8,29.9,x,x,0,x,x,x,x,x,0.032853,0.1583,SP,?,FALSE,FALSE,9832,"9782, 9884",40pm2,7.77E12 pm 3.14E11,30.9pm 2.8,"Lya, d:Lya",center is 9833 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
3C351.0,3481,NGC6310,5,"('256.1725', '60.7419444444')","(256.98946, 60.99017)",0.014659194,0.016293192,200.0300187,202.6416171,406.3410592,x,3525.7,3419,-62,49.65828781,x,34.5,8.3,76.1,70,11.9,NGC6310,.S..3*/,77.7,69,Sb: sp,Sb: sp,0.011405,0.3719,SP,?,FALSE,TRUE,3481,"3372, 3520",145pm15,3.19E13 pm 3.76E12,49.0pm 3.2,Lya,"Lya labeled at 3481, I measure 3446. Lots of large galaxies around : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C351.0,3614,MRK0892,4,"('256.1725', '60.7419444444')","(256.56603, 60.7052)",0.043866572,3.08E-07,101.4628133,46.33237529,179.4021417,x,3725,3617,3,52.46477936,x,12.9,6.7,58.7,170,69.2,0,x,x,x,Pair,Pair,0.012064,0.3719,SP,?,TRUE,FALSE,3614,"3539, 3677",194pm13,4.93E13 pm 4.09E12,39.3pm 2.3,Lya,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C351.0,3614,MRK0892,4,"('256.1725', '60.7419444444')","(256.56603, 60.7052)",0.043866572,3.08E-07,101.4628133,46.33237529,179.4021417,x,3725,3617,3,52.46477936,x,12.9,6.7,58.7,170,69.2,0,x,x,x,Pair,Pair,0.012064,0.3719,SP,?,TRUE,FALSE,3614,"3539, 3677",194pm13,4.93E13 pm 4.09E12,39.3pm 2.3,Lya,"Lya labeled at 3614, I measure 3608. Too many large galaxies nearby : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C351.0,5192,x,0,"('256.1725', '60.74194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3719,SP,FALSE,FALSE,FALSE,5192,"5118, 5266",206pm11,5.12E13 pm 3.33E12,44.5pm 2.7,Lya,Lya labeled at 5192. SDSSJ170349.45+601806.1 at b=589kpc : NO GALAXIES : NO GALAXIES : NO GALAXIES
3C351.0,7192,SDSSJ170325.13+603944.4,1,"('256.1725', '60.7419444444')","(255.85472, 60.66234)",0.000641379,7.58E-12,116.1905373,62.20846405,314.6810178,x,7327.7,7218,26,103.2071228,x,15.7,11.3,43.9,87,24.1,0,x,x,x,x,x,0.024078,0.3719,SP,?,FALSE,FALSE,7192,"7104, 7216",63pm11,1.29E13 pm 2.43E12,32.8pm 6.2,Lya,"Lya labeled at 7192, I measure 7160 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
3C66A,4303,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,4303,"4282, 4324",24pm4,4.93E12 pm 9.03E11,15.6pm 2.1,d:X,"weak, labeled d:X?, center is 4303 : NO GALAXIES : NO GALAXIES : NO GALAXIES"
