AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
FBQSJ1431+2442,6623,IRASF14291+2443,2,"('217.8575', '24.7055555556')","(217.84593, 24.51172)",0.073187542,0.08489944,202.821709,208.8401494,327.8649196,x,6870.7,6615,-8,96.77107615,x,35.2,9.9,73.7,x,x,0,x,x,x,2MASS Extended Ver.2,2MASS Extended Ver.2,0.022065,,,TRUE,TRUE,TRUE,6623,"6570, 6698",272pm20,7.89E13 pm 8.95E12,41.7pm 2.6,Lya,center is 6634
H1101-232,3580,MCG-04-26-019,2,"('165.907083333', '-23.4919444444')","(165.70883, -23.59161)",0.325791093,0.217815076,172.7694299,147.3690571,179.1539784,x,3846.2,3623,43,49.52,x,27.9,11.7,65.2,35,26.3,ESO502-G12,PSXT2..,59.1,30,(R:)SA:(s)ab   HII,(R:)SA:(s)ab   HII,0.012086,0.186,SP,TRUE,TRUE,TRUE,3580,"3466, 3710",573pm12,2.67E14 pm 1.50E13,57.3pm 1.9,d:Lya,"strong, center is 3588, blended with H2:1, OVI?; p"
HE0241-3043,1221,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",0.986455296,1.389095532,273.1866721,399.0239191,219.2796518,x,1029.8,1271,50,20.038,x,54.2,36.7,47.4,x,62.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,,,TRUE,TRUE,TRUE,1221,"1175, 1243",83pm12,1.90E13 pm 3.06E12,23.6pm 2.5,Lya,center is 1209
HE0241-3043,1310,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",1.01089667,1.423513112,273.1866721,399.0239191,219.2796518,x,1029.8,1271,-39,20.038,x,54.2,36.7,47.4,x,62.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,,,TRUE,TRUE,TRUE,1310,"1254, 1376",184pm15,5.07E13 pm 4.98E12,32.7pm 3.1,Lya,center is 1315
HE1228+0131,1556,NGC4536,12,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.009325217,0.009254037,197.6231383,197.3783651,347.2454511,x,2102.6,1808,252,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,FALSE,FALSE,FALSE,1556,"1550, 1600",20pm2,3.86E12 pm 4.10E11,19.7pm 1.7,d:Lya,"d:Lya labeled at 1556 - I measure 1575, weak near NGC4517A, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1707,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.035349959,0.035080131,197.6231383,197.3783651,347.2454511,x,2102.6,1808,101,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,FALSE,FALSE,FALSE,1707,"1600, 1814",598pm3,3.10E14 pm 3.61E12,56.2pm 1.9,"d:Lya, Lya","d:Lya near to Lya:1854(1575), near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1854,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.043268386,0.042938116,197.6231383,197.3783651,347.2454511,x,2102.6,1808,-46,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.117,SP,FALSE,TRUE,FALSE,1854,"1814, 1906",68pm3,1.39E13 pm 5.91E11,33.3pm 3.2,d:Lya,"d:Lya labeled at 1854 - I measure 1860, near to with Lya:1709, near both NGC4517A and NGC4536, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1488,NGC4517,16,"('187.708333333', '1.25583333333')","(188.18996, 0.11503)",0.011872412,0.011084828,193.1759035,187.8498124,211.0430532,x,1420.4,1128,-360,9.765,x,32.8,4.1,82.7,x,74.1,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.117,SP,FALSE,FALSE,FALSE,1488,"1440, 1550",144pm3,3.60E13 pm 7.74E11,29.0pm 3.5,"d:Lya,Lya","d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
LBQS1230-0015,1127,NGC4517,11,"('188.267083333', '-0.526111111111')","(188.18996, 0.11503)",1.445606357,1.418871139,193.1759035,187.8498124,110.0582855,x,1420.4,1128,1,9.765,x,32.8,4.1,82.7,x,89.9,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,,,TRUE,TRUE,TRUE,1127,"1028, 1218",473pm16,1.84E14 pm 1.34E13,51.0pm 2.3,Lya,center is 1123
MRC2251-178,9051,MCG-03-58-009,1,"('343.524583333', '-17.5819444444')","(343.42021, -17.47889)",0.361759073,1.426017559,319.1465428,559.5058883,320.0630657,x,8753.8,9030,-21,128,x,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,TRUE,TRUE,TRUE,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
