AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SDSSJ021218.32-073719.8,4833,SDSSJ021315.79-073942.7,5,"('33.07625', '-7.62222222222')","(33.31582, -7.66188)",0.091652386,0.040749242,174.4747724,150.5496164,268.1767084,x,4531.8,4800,-33,63.82800065,x,28.3,18.1,50.23979196,51.68181517,109,9.5,MCG-1-6-70,PSBT1..,40.7,-99,x,Spiral,0.016011,0.1739,SP,1,0,1,4833,"4804, 4994",500pm17,2.03E14 pm 1.53E13,58.3pm 2.9,f:Lya,center is 4899 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ021218.32-073719.8,4756,SDSSJ021315.79-073942.7,5,"('33.07625', '-7.62222222222')","(33.31582, -7.66188)",0.08973205,0.039895449,174.4747724,150.5496164,268.1767084,x,4531.8,4800,44,63.82800065,x,28.3,18.1,50.23979196,51.68181517,109,9.5,MCG-1-6-70,PSBT1..,40.7,-99,x,Spiral,0.016011,0.1739,SP,1,1,1,4756,"4624, 4804",528pm15,2.24E14 pm 1.62E13,56.7pm 2.9,f:Lya,center is 4714
RX_J0714.5+7408,4264,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.142899653,0.154584674,201.6273975,206.1760146,270.602644,x,4268.8,4188,-76,50.35,x,34.9,16.8,61.22473259,63.45567676,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Spiral,0.01397,0.371,SP,1,1,1,4264,"4164, 4354",410pm9,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
RX_J0714.5+7408,4074,UGC03717,1,"('108.650833333', '74.1363888889')","(108.31017, 73.84314)",0.119300158,0.12905543,201.6273975,206.1760146,270.602644,x,4268.8,4188,114,50.35,x,34.9,16.8,61.22473259,63.45567676,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Spiral,0.01397,0.371,SP,1,1,1,4074,"4030, 4114",58pm7,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY
1H0717+714,2956,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.210876284,0.123106584,172.7694299,147.3690571,207.1402904,x,2972.8,2887,-69,45.4,x,27.9,16.7,53.2327141,54.84446281,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Spiral,0.00963,0.5003,SP,1,1,1,2956,"2954, 3022",39pm4,7.94E12 pm 8.35E11,24.4pm 2.4,d:Lya,"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
1H0717+714,2870,UGC03804,1,"('110.472083333', '71.3433333333')","(110.64454, 71.59894)",0.235820666,0.137668761,172.7694299,147.3690571,207.1402904,x,2972.8,2887,17,45.4,x,27.9,16.7,53.2327141,54.84446281,5,7.2,UGC3804,.S..6*.,52.9,13,Scd:,Spiral,0.00963,0.5003,SP,1,1,1,2870,"2760, 2960",343pm6,9.25E13 pm 1.97E12,57.1pm 1.7,d:Lya,"blended with 2956, center is 2860; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
SDSSJ080838.80+051440.0,8927,UGC04239,4,"('122.161666667', '5.24444444444')","(121.99208, 5.20667)",0.080887949,0.447968763,278.7260738,416.8226385,378.3176864,x,8893.1,8763,-164,125.2551175,x,55.8,40.2,43.90999766,45.05851695,115,37.6,0,x,x,x,S,Spiral,0.02923,0.361,RT,1,0,1,8927,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,8740,UGC04239,2,"('122.161666667', '5.24444444444')","(121.99208, 5.20667)",0.156372323,0.866011773,278.7260738,416.8226385,378.3176864,x,8893.1,8763,23,125.2551175,x,55.8,40.2,43.90999766,45.05851695,115,37.6,0,x,x,x,S,Spiral,0.02923,0.361,RT,1,1,1,8740,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ091728.60+271951.0,7141,UGC04895,2,"('139.369166667', '27.3308333333')","(139.20608, 27.4896)",0.016575189,0.02225132,204.4092283,212.4100186,408.0127169,x,7279,7073,-68,108.8,x,35.6,18.5,58.69035636,60.69061897,170,32.4,UGC4895,.S..3..,69.7,163,Sb,Spiral,0.023593,0.0756,SP,1,1,1,7141,"7004, 7230",374pm23,9.27E13 pm 7.33E12,76.5pm 2.4,Lya,center is 7117
PG1001+054,4092,UGC05432,4,"('151.08375', '5.21694444444')","(151.22461, 5.06264)",0.135765655,0.050607942,163.6882845,131.047747,217.2557343,x,4237.9,3995,-97,59.68819618,x,25.8,21.2,34.74412034,35.56769661,60,77.7,0,x,x,x,E:,E:,0.013326,0.161,SP,1,1,1,4092,"4020, 4174",222pm10,5.41E13 pm 2.85E12,46.9pm 2.1,Lya,center is 4097
SDSSJ130524.30+035731.0,7039,UGC08186,1,"('196.35125', '3.95861111111')","(196.49433, 3.95644)",0.824462604,1.278738894,268.2979823,383.6638529,248.6567512,x,7298.1,7006,-33,99.8,x,52.8,12.7,76.08215862,82.1617279,105,14.1,0,x,x,x,Scd(f),Spiral,0.023369,0.5457,SI,1,1,1,7039,"6935, 7155",480pm14,1.84E14 pm 1.10E13,54.6pm 2.5,Lya,center is 7045 : ONLY 1 GALAXY
RX_J1330.8+3119,7401,UGC08492,4,"('202.721666667', '31.3255555556')","(202.52721, 31.38811)",0.066731961,0.080562365,204.0128691,211.5156614,335.4039983,x,7689.2,7414,13,108.2987054,x,35.5,34.1,16.14452096,16.48683061,70,40.6,UGC8492,.S?....,12.2,-99,S0,S0,0.02473,0.241,DG,1,0,1,7401,"7325, 7497",330pm15,1.09E14 pm 7.83E12,45.6pm 2.3,f:Lya,"f:Lya labeled at 7401, center is 7411. Somewhat ambiguous, and totally face on (can't determine azimuth). UGC08498 is b = 580, and is huge : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MRK876,3478,UGC10294,1,"('243.488333333', '65.7194444444')","(243.34246, 65.41842)",0.063147734,0.015074328,165.4351886,134.1071512,274.1125942,x,3632.1,3504,26,51.15615908,x,26.2,17,49.54467357,50.95056295,4,7.3,0,x,x,x,Sm?,Sm?,0.011688,0.129,SP,1,1,1,3478,"3322, 3588",280pm3,7.92E13 pm 9.77E11,52.3pm 2.7,"Lya, d:Lya",center is 3455 : ONLY 1 GALAXY
RX_J2139.7+0246,4181,UGC11785,1,"('324.934166667', '2.76805555556')","(324.8615, 2.82711)",1.134045819,1.152301908,202.821709,208.8401494,107.5396145,x,3860,4074,-107,65.85,x,35.2,6.3,79.68980549,90,60,69.1,UGC11785,.S..6?/,82.6,61,Sd,Spiral,0.013589,0.26,SI,1,1,1,4181,"4121, 4281",529pm7,2.65E14 pm 1.39E13,54.2pm 3.6,Lya,center is 4201 : ONLY 1 GALAXY
RX_J2139.7+0246,4083,UGC11785,1,"('324.934166667', '2.76805555556')","(324.8615, 2.82711)",1.506805142,1.531061982,202.821709,208.8401494,107.5396145,x,3860,4074,-9,65.85,x,35.2,6.3,79.68980549,90,60,69.1,UGC11785,.S..6?/,82.6,61,Sd,Spiral,0.013589,0.26,SI,1,1,1,4083,"3977, 4123",490pm7,2.38E14 pm 1.28E13,50.1pm 3.1,Lya,center is 4050 : ONLY 1 GALAXY
