AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
MRK290,758,SBS1511+583,3,"('233.96792', '57.9025')","(228.1827, 58.17656)",0,0,12.21586889,0.464758002,486.3526451,x,643.7,471,-287,9.066242091,x,0.6,0.5,34.9,69,26.1,0,x,x,x,x,x,0.001572,0.0296,SP,FALSE,FALSE,FALSE,758,"698, 810",134pm10,3.00E13 pm 2.56E12,39.4pm 2.1,done,center is 754 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRK290,3105,NGC5987,2,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.081844947,0.772753993,322.0594318,570.666866,486.0114481,x,3170,3010,-95,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3105,"2966, 3170",511pm5,2.01E14 pm 3.76E12,57.0pm 2.6,done,center is 3068
MRK290,3207,NGC5987,3,"('233.96792', '57.9025')","(234.98904, 58.07953)",0.038870149,0.366999596,322.0594318,570.666866,486.0114481,x,3170,3010,-197,48.9,x,68.8,29.6,64.5,60,11.9,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0296,SP,TRUE,TRUE,TRUE,3207,"3166, 3308",319pm4,1.11E14 pm 2.43E12,39.8pm 3.1,done,center is 3237
MRK290,4654,x,0,"('233.96792', '57.9025')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0296,SP,FALSE,FALSE,FALSE,4654,"4630, 4694",45pm14,933E12 pm 3.07E12,22.6pm 4.1,done,"only in HRS data, very faint, center is 4662 : NO GALAXIES : NO GALAXIES"
SBS1537+577,754,UMaDwarf,1,"('234.54167', '57.60361')","(158.72, 51.92)",-99,-99,-99,-99,73.66872028,x,1313,1101,347,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673,0.0734,SP,FALSE,FALSE,FALSE,754,"687, 809",146pm36,3.28E13 pm 9.49E12,44.9pm2.8,Lya,center is 748 : ONLY 1 GALAXY : ONLY 1 GALAXY
SBS1537+577,3279,NGC5987,4,"('234.54167', '57.60361')","(234.98904, 58.07953)",0.022419678,0.173894955,322.0594318,570.666866,454.1827315,x,3170,3010,-269,48.9,x,68.8,29.6,64.5,60,33.3,NGC5987,.S..3..,71.6,165,Sb,Sb,0.01004,0.0734,SP,TRUE,FALSE,TRUE,3279,"3174, 3380",358pm30,9.55E13 pm 1.07E13,64.4pm 2.7,Lya,center is 3277 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,3549,SDSSJ153802.75+573018.3,3,"('234.54167', '57.60361')","(234.5115, 57.50508)",0.332896372,0.000547234,86.86757243,33.05642146,90.50600729,x,3687.3,3525,-24,51.93368351,x,10.3,1.9,79.6,24,14.7,0,x,x,x,Sd(f),Sd(f),0.011759,0.0734,SP,TRUE,TRUE,FALSE,3549,"3456, 3670",447pm28,1.40E14 pm 1.38E13,53.2pm 3.6,Lya,center is 3563 : VIRIAL VS CUSTOM RESULT MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
SBS1537+577,4077,SBS1540+576,1,"('234.54167', '57.60361')","(235.29007, 57.53141)",3.31E-18,2.12E-230,63.89771317,16.955707,388.7279517,x,3877.6,3717,-360,54.61470227,x,6.6,4.9,42.3,36,64.2,0,x,x,x,x,x,0.012399,0.0734,SP,FALSE,FALSE,FALSE,4077,"4032, 4148",72pm25,1.47E13 pm 5.48E12,45.0pm 3.8,Lya,center is 4090 : VIRIAL AND CUSTOM INCLUDE MISMATCH : ONLY 1 GALAXY
SBS1537+577,8466,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,8466,"8413, 8501",48pm21,9.79E12 pm 4.38E12,31.1pm 7.9,Lya,center is 8457 : NO GALAXIES : NO GALAXIES
SBS1537+577,9008,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9008,"8983, 9033",54pm14,1.23E13 pm 3.69E12,,no,"Not marked, but I see Lya here : NO GALAXIES : NO GALAXIES"
SBS1537+577,9190,x,0,"('234.54167', '57.60361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0734,SP,FALSE,FALSE,FALSE,9190,"9160, 9224",67pm16,1.47E13 pm 4.07E12,22.4pm 1.9,Lya,center is 9192 : NO GALAXIES : NO GALAXIES
