AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
3C66A,5965,UGC01832,3,"('35.665', '43.03556')","(35.62966, 43.0653)",0.721998913,0.717523103,191.9550398,185.2785066,55.88383776,x,5771.7,-193.3,81.29213857,x,32.5,13.6,65.2,155,16,UGC1832,.S..1..,64.1,163,Sa,Sa,0.019724,0.444,SP,FALSE,FALSE,FALSE,5965,"5940, 6026",53pm6,1.11E13 pm 1.27E12,26.3pm 2.6,d:Lya,"weak, blended with Mgll, center is 5983, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,6076,UGC01841,5,"('35.665', '43.03556')","(35.79755, 42.99205)",0.874699255,1.027755263,346.8309544,670.4141228,162.7451694,x,6231.8,155.8,87.77125098,x,76.6,76.6,0,x,x,UGC1841,.E.....,0,-99,E              LERG,E              LERG,0.021258,0.444,SP,FALSE,FALSE,TRUE,6076,"6044, 6122",27pm6,5.20E12 pm 1.13E12,26.7pm 3.3,d:Lya,"weak, blended with Mgll, center is 6083, near UGC01841; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C66A,8180,x,0,"('35.665', '43.03556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.444,SP,FALSE,FALSE,FALSE,8180,"8138, 8258",118pm6,2.76E13 pm 1.53E12,30.3pm 2.9,d:Lya,"center is 8198, no galaxies within 1000 kpc : NO GALAXIES"
MRC2251-178,2275,MCG-03-58-014,1,"('343.52458', '-17.58194')","(344.36012, -17.88558)",4.08E-20,1.06E-264,63.89771317,16.955707,417.3445625,x,1993.2,-281.8,28.07265578,x,6.6,3.7,55.9,105,5.9,0,x,x,x,Sa,Sa,0.007575,0.0661,SP,TRUE,TRUE,TRUE,2275,"2205, 2345",88pm6,1.81E13 pm 1.37E12,44.6pm 2.6,"Lya, d:Lya","Lya labeled at 2258, d:Lya at 2283 _ I measure 2275 : ONLY 1 GALAXY"
MRC2251-178,3063,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000895014,3.91E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-72.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,TRUE,TRUE,TRUE,3063,"3000, 3126",66pm5,1.31E13 pm 1.01E12,45.4pm 4.0,"Lya, d:Lya","Lya labeled at 3042, d:Lya at 3055 _ I measure 3063"
MRC2251-178,3222,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000267318,1.17E-10,121.7484398,68.85950915,319.5117248,x,2990.5,-231.5,42.12023615,x,16.8,10.1,53.1,40,55.6,ESO603-G27,.IBS9..,52.9,40,IB(s)m,IB(s)m,0.010898,0.0661,SP,TRUE,TRUE,TRUE,3222,"3124, 3320",326pm5,9.14E13 pm 1.73E12,51.4pm 2.0,"Lya, d:Lya","Lya labeled at 3203, d:Lya at 3218 _ I measure 3222"
MRC2251-178,4360,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4360,"4325, 4395",31pm4,6.13E12 pm 7.83E11,27.5pm 2.2,Lya,"Lya labeled at 4323, d:INSTR labeled at 4362.5 _ I measure 4360 : NO GALAXIES"
MRC2251-178,4705,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,29,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,4705,"4670, 4740",38pm4,7.57E12 pm 9.48E11,25.6pm 2.1,d:Lya,d:Lya labeled at 4710 : NO GALAXIES
MRC2251-178,9031,MCG-03-58-009,1,"('343.52458', '-17.58194')","(343.42021, -17.47889)",0.053575042,0.211176568,319.1465428,559.5058883,320.0509932,x,8753.8,-277.2,128,x,67.9,35.3,58.7,175,39,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,TRUE,TRUE,TRUE,9029,"8960, 9098",67pm4,1.32E13 pm 7.93E11,47.6pm 2.3,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9029 : ONLY 1 GALAXY"
MRC2251-178,9733,x,0,"('343.52458', '-17.58194')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0661,SP,FALSE,FALSE,FALSE,9733,"9666, 9800",156pm10,3.66E13 pm 2.60E12,37.0pm 2.4,"Lya, d:Lya","Lya labeled at 9733, d:Lya at 9745 : NO GALAXIES"
SBS1503+570,706,NGC5907,15,"('226.23150', '56.82230')","(228.97404, 56.32877)",0.05947114,0.497060632,294.7210858,470.5795629,452.0909184,x,843,137,16.3,x,60.5,6.6,83.7,x,46.8,NGC5907,.SAS5*/,83.7,155,SA(s)c: sp     HII:,SA(s)c: sp     HII:,0.002225,0.3589,SP,?,TRUE,TRUE,706,"656, 756",265pm20,8.91E13 pm 1.26E13,34.3pm 2.1,Lya,"Lya marked 705, I measure 706 ; ambiguous = other nearby large galaxies: NGC5866, KUG1513+566, NGC5879"
SBS1503+570,8915,x,0,"('226.2315', '56.8223')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.3589,SP,FALSE,FALSE,FALSE,8915,"8790, 9040",582pm17,2.24E14 pm 1.34E13,70.3pm 2.7,Lya,"Lya marked 8920, I measure 8915; two galaxies with 500 < v < 800 km/s = SDSSJ150606.34+563934.6, SDSSJ150659.06+564203.2 : NO GALAXIES"
SDSSJ080838.80+051440.0,1434,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,1434,"1410, 1488",103pm25,2.37E13 pm 6.83E12,27.5pm 3.5,done,center is 1449 : NO GALAXIES
SDSSJ080838.80+051440.0,2460,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2460,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,center is 2457 : NO GALAXIES
SDSSJ080838.80+051440.0,2582,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2582,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,center is 2582 : NO GALAXIES
SDSSJ080838.80+051440.0,2818,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,2818,"2783, 2853",40pm19,8.19E12 pm 4.07E12,23.7pm 6.4,done,"Labeled at 2817, middle is 2818 : NO GALAXIES"
SDSSJ080838.80+051440.0,4158,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4158,"4080, 4236",189pm23,4.30E13 pm 6.24E12,56.5pm 2.8,no,"Not labeled, looks like Lya to me : NO GALAXIES"
SDSSJ080838.80+051440.0,4337,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4337,"4272, 4386",187pm20,4.69E13 pm 6.39E12,39.2pm 1.6,done,center is 4329 : NO GALAXIES
SDSSJ080838.80+051440.0,4834,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,4834,"4769, 4895",158pm22,3.73E13 pm 6.01E12,41.7pm 3.9,done,center is 4832 : NO GALAXIES
SDSSJ080838.80+051440.0,8726,UGC04239,2,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.078834938,0.436610566,278.7260738,416.8226385,378.3226481,x,8893.1,167.1,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,?,TRUE,TRUE,8726,"8560, 8876",883pm24,3.38E14 pm 2.10E13,92.6pm 2.1,done,center is 8718
SDSSJ080838.80+051440.0,8913,UGC04239,3,"('122.16167', '5.24444')","(121.99208, 5.20667)",0.156885506,0.868877063,278.7260738,416.8226385,378.3226481,x,8893.1,-19.9,125.2551175,x,55.8,40.2,43.9,115,37.6,0,x,x,x,S,S,0.02923,0.361,RT,?,TRUE,TRUE,8913,"8870, 8974",130pm19,3.37E13 pm 5.54E12,25.6pm 4.4,done,center is 8922
SDSSJ080838.80+051440.0,9746,CGCG031-056,2,"('122.16167', '5.24444')","(122.06849, 5.21612)",0.007839839,0.018429126,211.485894,228.7217174,223.2133956,x,9359.5,-386.5,131.8235737,x,37.4,29.9,36.9,85,12,0,x,x,x,x,x,0.030786,0.361,RT,FALSE,FALSE,TRUE,9746,"9706, 9770",50pm15,1.04E13 pm 3.48E12,20.7pm 2.3,done,center is 9738 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ080838.80+051440.0,10181,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.361,RT,FALSE,FALSE,FALSE,10181,"10048, 10344",780pm24,3.02E14 pm 1.97E13,80.6pm 2.2,done,center is 10196 : NO GALAXIES
2dFGRS_S393Z082,1242,NGC1097,4,"('41.25333', '-30.12306')","(41.57937, -30.27489)",0.548542875,0.599726954,273.1866721,399.0239191,111.9452231,x,1029.8,-212.2,20.038,x,54.2,36.7,47.4,x,11.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,?,TRUE,TRUE,1242,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"very likely Lya here, but not fully identified yet, original name = TGS393Z082"
2dFGRS_S393Z082,2997,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,2997,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,center is 2999 : NO GALAXIES
2dFGRS_S393Z082,4037,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.34,NP,FALSE,FALSE,FALSE,4037,"4003, 4055",36pm13,7.41E12 pm 2.81E12,18.7pm 2.7,done,center is 4029 : NO GALAXIES
PG1211+143,2116,NGC4189,8,"('183.57375', '14.05361')","(183.44696, 13.42481)",0.005278733,0.002595877,180.8044945,162.6763412,314.0232624,x,2414.5,298.5,28.08,x,29.8,17.3,54.5,95,83.9,NGC4189,.SXT6$.,43.6,85,SAB(rs)cd?     HII,SAB(rs)cd?     HII,0.007055,0.0804,SP,?,TRUE,TRUE,2116,"2067, 2165",95pm7,2.04E13 pm 1.81E12,34.6pm 1.7,Lya,"STIS only, center looks possibly <2116 to me; p"
PG1211+143,4920,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,4920,"4870, 4970",157pm7,3.81E13 pm 2.01E12,33.8pm 2.5,Lya,"Lya labeled at 4933 _ I measure 4920, blended with Lya:5033 : NO GALAXIES"
PG1211+143,5033,x,0,"('183.57375', '14.05361')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.0804,SP,FALSE,FALSE,FALSE,5033,"4965, 5101",240pm7,6.18E13 pm 2.47E12,44.4pm 2.6,Lya,"Lya labeled at 5011 _ I measure 5033, blended with Lya:4920 : NO GALAXIES"
PG1211+143,6606,SDSSJ121430.17+141512.6,2,"('183.57375', '14.05361')","(183.62574, 14.25351)",8.53E-06,1.93E-15,116.7006809,62.80375785,351.1734606,x,6929.5,323.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,?,TRUE,TRUE,6606,"6555, 6657",89pm6,1.97E13 pm 1.54E12,29.3pm 2.9,Lya,
PG1211+143,7000,SDSSJ121430.17+141512.6,1,"('183.57375', '14.05361')","(183.62574, 14.25351)",0.00010314,2.33E-14,116.7006809,62.80375785,351.1734606,x,6929.5,-70.5,97.59845259,x,15.8,3.8,76.1,40,25.8,0,x,x,x,x,x,0.022114,0.0804,SP,?,TRUE,TRUE,7000,"6945, 7055",125pm6,2.88E13 pm 1.64E12,32.2pm 2.7,Lya,Lya labeled at 6989 _ I measure 7000 : ONLY 1 GALAXY
PG1211+143,7735,SDSSJ121352.97+141312.4,1,"('183.57375', '14.05361')","(183.47074, 14.22013)",9.16E-08,9.48E-44,91.46877343,36.98149537,368.052424,x,7710.5,-24.5,108.5978983,x,11.1,7.2,49.5,20,51,0,x,x,x,x,x,0.024722,0.0804,SP,?,TRUE,TRUE,7735,"7626, 7844",158pm10,3.31E13 pm 2.16E12,65.6pm 3.7,Lya, : ONLY 1 GALAXY
TON488,1250,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.043604993,0.002950517,92.03657223,37.48236919,58.03988156,x,1620.3,370.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,?,TRUE,TRUE,1250,"1237, 1297",68pm9,1.48E13 pm 2.20E12,24.0pm 2.0,d:Lya,"d:Lya only, center is 1267. UGC05478 is much closer, but >400 km/s away. The ramp up of EW of subsequent lines getting closer to this velocity is interesting though..."
TON488,1375,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.298545295,0.020200963,92.03657223,37.48236919,58.03988156,x,1620.3,245.3,23.4,x,11.2,11,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597,0.2564,SP,?,TRUE,TRUE,1375,"1284, 1480",452pm12,1.75E14 pm 9.83E12,51.2pm 2.4,done,center is 1382
TON488,4101,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4101,"4050, 4152",55pm10,1.10E13 pm 2.07E12,43.7pm 2.7,d:Lya,d:Lya marked at 4101 is extremely weak/questionable : NO GALAXIES
TON488,4786,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,4786,"4746, 4836",44pm9,8.77E12 pm 1.82E12,31.1pm 3.1,done,center is 4791 : NO GALAXIES
TON488,5737,x,0,"('152.50292', '30.05583')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.2564,SP,FALSE,FALSE,FALSE,5737,"5702, 5758",34pm7,6.89E12 pm 1.45E12,16.0pm 3.5,done,center is 5730 : NO GALAXIES
SDSSJ135341.03+361948.0,6172,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6172,"6074, 6254",274pm10,7.25E13 pm 3.28E12,50.2pm 2.3,done,center is 6164 : NO GALAXIES
SDSSJ135341.03+361948.0,6419,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6419,"6388, 6450",48pm7,9.82E12 pm 1.51E12,23.6pm 2.6,no,"not marked, but looks like a small Lya line here : NO GALAXIES"
SDSSJ135341.03+361948.0,6525,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6525,"6450, 6600",445pm6,2.05E14 pm 9.53E12,44.8pm 2.0,done,center is 6527 : NO GALAXIES
SDSSJ135341.03+361948.0,6642,x,0,"('208.42083', '36.33')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.147,PL,FALSE,FALSE,FALSE,6642,"6600, 6720",233pm8,7.37E13 pm 3.53E12,32.2pm 3.3,done,center is 6661 : NO GALAXIES
MRK1014,5658,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",3.17E-05,1.73E-10,141.0794316,94.86259537,446.1410499,x,5538,-120,78.0001575,x,20.8,16.8,35.9,18,11.6,0,x,x,x,Compact,Compact,0.01937,0.163,SP,?,TRUE,TRUE,5658,"5610, 5706",43pm10,8.69E12 pm 2.05E12,33.2pm 2.4,d:Lya,"d:Lya labeled at 5694 _ I measure 5658, weak : ONLY 1 GALAXY"
MRK1014,7088,NGC0768,2,"('29.95917', '0.39472')","(29.67056, 0.52922)",0.001505485,0.007625009,253.3839055,338.8085831,486.1589792,x,6752.3,-335.7,87.483,x,48.6,14.5,72.6,x,85,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,?,TRUE,TRUE,7088,"7031, 7145",95pm10,2.00E13 pm 2.24E12,40.9pm 2.1,d:Lya,"d:Lya labeled at 7080 - I measure 7088, IC1761 companion; p"
MRK1014,7563,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",1.93E-07,1.39E-21,121.7484398,68.85950915,476.5102478,x,7638.2,75.2,107.5800139,x,16.8,6.6,67,148,58.9,0,x,x,x,x,x,0.026371,0.163,SP,?,TRUE,TRUE,7563,"7474, 7652",401pm10,1.52E14 pm 6.47E12,45.1pm 2.0,d:Lya,"strong, but far away from galaxy; p : ONLY 1 GALAXY"
MRK1014,8427,x,0,"('29.95917', '0.39472')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.163,SP,FALSE,FALSE,FALSE,8427,"8362, 8492",154pm11,3.58E13 pm 3.03E12,38.4pm 2.7,d:Lya,d:Lya labeled at 8421 _ I measure 8427 : NO GALAXIES
RX_J1503.2+6810,7188,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,7188,"7118, 7258",175pm16,4.11E13 pm 4.49E12,43.1pm 3.0,Lya,"Lya marked at 7204, I measure 7188 : NO GALAXIES"
RX_J1503.2+6810,8232,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8232,"8208, 8256",29pm10,6.20E12 pm 2.21E12,13.3pm 4.1,no,"Not marked, but possibly weak Lya : NO GALAXIES"
RX_J1503.2+6810,8860,x,0,"('225.81875', '68.16833')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,0.114,SP,FALSE,FALSE,FALSE,8860,"8746, 8974",349pm20,9.38E13 pm 6.63E12,67.2pm 3.1,Lya,"Lya marked at 8845, I measure 8860 (possibly 2 blended components) : NO GALAXIES"
RX_J1503.2+6810,10125,CGCG318-012,1,"('225.81875', '68.16833')","(225.56167, 68.26181)",0.05877201,0.240439334,249.7749021,328.4055054,325.4494668,x,9911.8,-213.2,139.60269,x,47.6,30.5,50.2,135,0.6,0,x,x,x,x,x,0.032573,0.114,SP,?,TRUE,TRUE,10125,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,no,"Not marked, possibly weak Lya : ONLY 1 GALAXY"
PG1302-102,1313,MCG-02-34-006,3,"('196.3875', '-10.55556')","(197.44792, -10.32)",4.09E-05,1.40E-11,132.056154,82.16610615,404.9237794,x,1480.7,167.7,21.700001,x,18.9,15.8,33.6,x,x,0,x,x,x,SAB(s)d:       Sy2,SAB(s)d:       Sy2,0.004037,0.2784,SP,?,TRUE,TRUE,1313,"1242, 1384",318pm7,1.22E14 pm 4.22E12,34.8pm 2.3,"Lya, d:Lya","Lya labeled at 1313, d:Lya at 1314"
